Position_title,organization_hiring,duty_station,position_status,date_posted,limit_date,job_description
Associate Academic Officer: Implementation and Research (P-2),United Nations University (UNU),Bonn (Germany),Entry Professional,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53904977
Research Assessment and Monitoring (RAM) Officer SC-9 (Jamaica),World Food Programme (WFP),BarbadosJamaica,Entry Professional,Posted 1 month ago,Closing soon: 20 Feb 2023,https://www.unjobnet.org/jobs/detail/52844204
Research Uptake Officer,Action contre la Faim,Madrid (Spain),,Posted 1 month ago,,https://www.unjobnet.org/jobs/detail/52309609
CBT Research Officer,International Criminal Police Organization (Interpol),Singapore (Singapore),,Posted 1 month ago,Close on 1 Mar 2023,https://www.unjobnet.org/jobs/detail/51932267
"Officer, Prospect Research - Global",International Rescue Committee (IRC),,,Posted 2 months ago,Close on 28 Feb 2023,https://www.unjobnet.org/jobs/detail/50582395
Research Officer (Adv#75/2023),"International Centre for Diarrhoeal Disease Research, Bangladesh (ICDDRB)",Dhaka (Bangladesh),,Posted 18 hours ago,Closing soon: 23 Feb 2023,https://www.unjobnet.org/jobs/detail/54287812
Senior Research Officer (Adv#76/2023),"International Centre for Diarrhoeal Disease Research, Bangladesh (ICDDRB)",Dhaka (Bangladesh),,Posted 22 hours ago,Closing soon: 23 Feb 2023,https://www.unjobnet.org/jobs/detail/54287811
Field Research Officer (Adv#68/2023),"International Centre for Diarrhoeal Disease Research, Bangladesh (ICDDRB)",Dhaka (Bangladesh),,Posted 2 days ago,Closing soon: 21 Feb 2023,https://www.unjobnet.org/jobs/detail/54211527
Research Officer - Europe,International Union for Conservation of Nature (IUCN),Ireland,,Posted 3 days ago,Closing soon: 26 Feb 2023,https://www.unjobnet.org/jobs/detail/54169300
Research Officer with Digital Health & Health Information Sys. under the Health System and Population Studies Division (Adv#67/2023),"International Centre for Diarrhoeal Disease Research, Bangladesh (ICDDRB)",Dhaka (Bangladesh),,Posted 4 days ago,Closing soon: 18 Feb 2023,https://www.unjobnet.org/jobs/detail/54111018
Technical Officer (TB Operational Research Initiatives),World Health Organization (WHO),Copenhagen (Denmark),Entry Professional,Posted 6 days ago,Close on 3 Mar 2023,https://www.unjobnet.org/jobs/detail/54030839
"MERL (Monitoring, Evaluation, Research and Learning) Officer",Plan International,,,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/54004479
Senior Research Officer - Water Management,International Water Management Institute (IWMI),Lahore (Pakistan),,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53950197
Research Officer - Resilient Water Management and Livelihoods,International Water Management Institute (IWMI),Kathmandu (Nepal),,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53943411
Associate Academic Officer: Implementation and Research (P-2),United Nations University (UNU),Bonn (Germany),Entry Professional,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53904977
Research Assessment and Monitoring (RAM) Officer SC-9 (Jamaica),World Food Programme (WFP),BarbadosJamaica,Entry Professional,Posted 1 month ago,Closing soon: 20 Feb 2023,https://www.unjobnet.org/jobs/detail/52844204
Research Uptake Officer,Action contre la Faim,Madrid (Spain),,Posted 1 month ago,,https://www.unjobnet.org/jobs/detail/52309609
CBT Research Officer,International Criminal Police Organization (Interpol),Singapore (Singapore),,Posted 1 month ago,Close on 1 Mar 2023,https://www.unjobnet.org/jobs/detail/51932267
"Officer, Prospect Research - Global",International Rescue Committee (IRC),,,Posted 2 months ago,Close on 28 Feb 2023,https://www.unjobnet.org/jobs/detail/50582395
Research Officer (Adv#75/2023),"International Centre for Diarrhoeal Disease Research, Bangladesh (ICDDRB)",Dhaka (Bangladesh),,Posted 18 hours ago,Closing soon: 23 Feb 2023,https://www.unjobnet.org/jobs/detail/54287812
Senior Research Officer (Adv#76/2023),"International Centre for Diarrhoeal Disease Research, Bangladesh (ICDDRB)",Dhaka (Bangladesh),,Posted 22 hours ago,Closing soon: 23 Feb 2023,https://www.unjobnet.org/jobs/detail/54287811
Field Research Officer (Adv#68/2023),"International Centre for Diarrhoeal Disease Research, Bangladesh (ICDDRB)",Dhaka (Bangladesh),,Posted 2 days ago,Closing soon: 21 Feb 2023,https://www.unjobnet.org/jobs/detail/54211527
Research Officer - Europe,International Union for Conservation of Nature (IUCN),Ireland,,Posted 3 days ago,Closing soon: 26 Feb 2023,https://www.unjobnet.org/jobs/detail/54169300
Research Officer with Digital Health & Health Information Sys. under the Health System and Population Studies Division (Adv#67/2023),"International Centre for Diarrhoeal Disease Research, Bangladesh (ICDDRB)",Dhaka (Bangladesh),,Posted 4 days ago,Closing soon: 18 Feb 2023,https://www.unjobnet.org/jobs/detail/54111018
Technical Officer (TB Operational Research Initiatives),World Health Organization (WHO),Copenhagen (Denmark),Entry Professional,Posted 6 days ago,Close on 3 Mar 2023,https://www.unjobnet.org/jobs/detail/54030839
"MERL (Monitoring, Evaluation, Research and Learning) Officer",Plan International,,,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/54004479
Senior Research Officer - Water Management,International Water Management Institute (IWMI),Lahore (Pakistan),,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53950197
Research Officer - Resilient Water Management and Livelihoods,International Water Management Institute (IWMI),Kathmandu (Nepal),,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53943411
Associate Academic Officer: Implementation and Research (P-2),United Nations University (UNU),Bonn (Germany),Entry Professional,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53904977
Research Assessment and Monitoring (RAM) Officer SC-9 (Jamaica),World Food Programme (WFP),BarbadosJamaica,Entry Professional,Posted 1 month ago,Closing soon: 20 Feb 2023,https://www.unjobnet.org/jobs/detail/52844204
Research Uptake Officer,Action contre la Faim,Madrid (Spain),,Posted 1 month ago,,https://www.unjobnet.org/jobs/detail/52309609
CBT Research Officer,International Criminal Police Organization (Interpol),Singapore (Singapore),,Posted 1 month ago,Close on 1 Mar 2023,https://www.unjobnet.org/jobs/detail/51932267
"Officer, Prospect Research - Global",International Rescue Committee (IRC),,,Posted 2 months ago,Close on 28 Feb 2023,https://www.unjobnet.org/jobs/detail/50582395
Research Officer (Adv#75/2023),"International Centre for Diarrhoeal Disease Research, Bangladesh (ICDDRB)",Dhaka (Bangladesh),,Posted 18 hours ago,Closing soon: 23 Feb 2023,https://www.unjobnet.org/jobs/detail/54287812
Senior Research Officer (Adv#76/2023),"International Centre for Diarrhoeal Disease Research, Bangladesh (ICDDRB)",Dhaka (Bangladesh),,Posted 22 hours ago,Closing soon: 23 Feb 2023,https://www.unjobnet.org/jobs/detail/54287811
Field Research Officer (Adv#68/2023),"International Centre for Diarrhoeal Disease Research, Bangladesh (ICDDRB)",Dhaka (Bangladesh),,Posted 2 days ago,Closing soon: 21 Feb 2023,https://www.unjobnet.org/jobs/detail/54211527
Research Officer - Europe,International Union for Conservation of Nature (IUCN),Ireland,,Posted 3 days ago,Closing soon: 26 Feb 2023,https://www.unjobnet.org/jobs/detail/54169300
Research Officer with Digital Health & Health Information Sys. under the Health System and Population Studies Division (Adv#67/2023),"International Centre for Diarrhoeal Disease Research, Bangladesh (ICDDRB)",Dhaka (Bangladesh),,Posted 4 days ago,Closing soon: 18 Feb 2023,https://www.unjobnet.org/jobs/detail/54111018
Technical Officer (TB Operational Research Initiatives),World Health Organization (WHO),Copenhagen (Denmark),Entry Professional,Posted 6 days ago,Close on 3 Mar 2023,https://www.unjobnet.org/jobs/detail/54030839
"MERL (Monitoring, Evaluation, Research and Learning) Officer",Plan International,,,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/54004479
Senior Research Officer - Water Management,International Water Management Institute (IWMI),Lahore (Pakistan),,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53950197
Research Officer - Resilient Water Management and Livelihoods,International Water Management Institute (IWMI),Kathmandu (Nepal),,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53943411
Associate Academic Officer: Implementation and Research (P-2),United Nations University (UNU),Bonn (Germany),Entry Professional,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53904977
Research Assessment and Monitoring (RAM) Officer SC-9 (Jamaica),World Food Programme (WFP),BarbadosJamaica,Entry Professional,Posted 1 month ago,Closing soon: 20 Feb 2023,https://www.unjobnet.org/jobs/detail/52844204
Research Uptake Officer,Action contre la Faim,Madrid (Spain),,Posted 1 month ago,,https://www.unjobnet.org/jobs/detail/52309609
CBT Research Officer,International Criminal Police Organization (Interpol),Singapore (Singapore),,Posted 1 month ago,Close on 1 Mar 2023,https://www.unjobnet.org/jobs/detail/51932267
"Officer, Prospect Research - Global",International Rescue Committee (IRC),,,Posted 2 months ago,Close on 28 Feb 2023,https://www.unjobnet.org/jobs/detail/50582395
Research Officer (Adv#75/2023),"International Centre for Diarrhoeal Disease Research, Bangladesh (ICDDRB)",Dhaka (Bangladesh),,Posted 18 hours ago,Closing soon: 23 Feb 2023,https://www.unjobnet.org/jobs/detail/54287812
Senior Research Officer (Adv#76/2023),"International Centre for Diarrhoeal Disease Research, Bangladesh (ICDDRB)",Dhaka (Bangladesh),,Posted 22 hours ago,Closing soon: 23 Feb 2023,https://www.unjobnet.org/jobs/detail/54287811
Field Research Officer (Adv#68/2023),"International Centre for Diarrhoeal Disease Research, Bangladesh (ICDDRB)",Dhaka (Bangladesh),,Posted 2 days ago,Closing soon: 21 Feb 2023,https://www.unjobnet.org/jobs/detail/54211527
Research Officer - Europe,International Union for Conservation of Nature (IUCN),Ireland,,Posted 3 days ago,Closing soon: 26 Feb 2023,https://www.unjobnet.org/jobs/detail/54169300
Research Officer with Digital Health & Health Information Sys. under the Health System and Population Studies Division (Adv#67/2023),"International Centre for Diarrhoeal Disease Research, Bangladesh (ICDDRB)",Dhaka (Bangladesh),,Posted 4 days ago,Closing soon: 18 Feb 2023,https://www.unjobnet.org/jobs/detail/54111018
Technical Officer (TB Operational Research Initiatives),World Health Organization (WHO),Copenhagen (Denmark),Entry Professional,Posted 6 days ago,Close on 3 Mar 2023,https://www.unjobnet.org/jobs/detail/54030839
"MERL (Monitoring, Evaluation, Research and Learning) Officer",Plan International,,,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/54004479
Senior Research Officer - Water Management,International Water Management Institute (IWMI),Lahore (Pakistan),,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53950197
Research Officer - Resilient Water Management and Livelihoods,International Water Management Institute (IWMI),Kathmandu (Nepal),,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53943411
Associate Academic Officer: Implementation and Research (P-2),United Nations University (UNU),Bonn (Germany),Entry Professional,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53904977
Research Assessment and Monitoring (RAM) Officer SC-9 (Jamaica),World Food Programme (WFP),BarbadosJamaica,Entry Professional,Posted 1 month ago,Closing soon: 20 Feb 2023,https://www.unjobnet.org/jobs/detail/52844204
Research Uptake Officer,Action contre la Faim,Madrid (Spain),,Posted 1 month ago,,https://www.unjobnet.org/jobs/detail/52309609
CBT Research Officer,International Criminal Police Organization (Interpol),Singapore (Singapore),,Posted 1 month ago,Close on 1 Mar 2023,https://www.unjobnet.org/jobs/detail/51932267
"Officer, Prospect Research - Global",International Rescue Committee (IRC),,,Posted 2 months ago,Close on 28 Feb 2023,https://www.unjobnet.org/jobs/detail/50582395
Research Officer (Adv#75/2023),"International Centre for Diarrhoeal Disease Research, Bangladesh (ICDDRB)",Dhaka (Bangladesh),,Posted 18 hours ago,Closing soon: 23 Feb 2023,https://www.unjobnet.org/jobs/detail/54287812
Senior Research Officer (Adv#76/2023),"International Centre for Diarrhoeal Disease Research, Bangladesh (ICDDRB)",Dhaka (Bangladesh),,Posted 22 hours ago,Closing soon: 23 Feb 2023,https://www.unjobnet.org/jobs/detail/54287811
Field Research Officer (Adv#68/2023),"International Centre for Diarrhoeal Disease Research, Bangladesh (ICDDRB)",Dhaka (Bangladesh),,Posted 2 days ago,Closing soon: 21 Feb 2023,https://www.unjobnet.org/jobs/detail/54211527
Research Officer - Europe,International Union for Conservation of Nature (IUCN),Ireland,,Posted 3 days ago,Closing soon: 26 Feb 2023,https://www.unjobnet.org/jobs/detail/54169300
Research Officer with Digital Health & Health Information Sys. under the Health System and Population Studies Division (Adv#67/2023),"International Centre for Diarrhoeal Disease Research, Bangladesh (ICDDRB)",Dhaka (Bangladesh),,Posted 4 days ago,Closing soon: 18 Feb 2023,https://www.unjobnet.org/jobs/detail/54111018
Technical Officer (TB Operational Research Initiatives),World Health Organization (WHO),Copenhagen (Denmark),Entry Professional,Posted 6 days ago,Close on 3 Mar 2023,https://www.unjobnet.org/jobs/detail/54030839
"MERL (Monitoring, Evaluation, Research and Learning) Officer",Plan International,,,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/54004479
Senior Research Officer - Water Management,International Water Management Institute (IWMI),Lahore (Pakistan),,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53950197
Research Officer - Resilient Water Management and Livelihoods,International Water Management Institute (IWMI),Kathmandu (Nepal),,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53943411
Associate Academic Officer: Implementation and Research (P-2),United Nations University (UNU),Bonn (Germany),Entry Professional,Posted 1 week ago,,https://www.unjobnet.org/jobs/detail/53904977
Research Assessment and Monitoring (RAM) Officer SC-9 (Jamaica),World Food Programme (WFP),BarbadosJamaica,Entry Professional,Posted 1 month ago,Closing soon: 20 Feb 2023,https://www.unjobnet.org/jobs/detail/52844204
Research Uptake Officer,Action contre la Faim,Madrid (Spain),,Posted 1 month ago,,https://www.unjobnet.org/jobs/detail/52309609
CBT Research Officer,International Criminal Police Organization (Interpol),Singapore (Singapore),,Posted 1 month ago,Close on 1 Mar 2023,https://www.unjobnet.org/jobs/detail/51932267
"Officer, Prospect Research - Global",International Rescue Committee (IRC),,,Posted 2 months ago,Close on 28 Feb 2023,https://www.unjobnet.org/jobs/detail/50582395
